Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","CP_Radial_D8.0mm_P3.50mm",151.460000,-126.980000,0.000000,top
"C2","220uf","CP_Radial_D6.3mm_P2.50mm",132.417621,-62.800000,0.000000,top
"C3","220uf","CP_Radial_D6.3mm_P2.50mm",132.517621,-92.100000,0.000000,top
"C4","100nf","C_0603_1608Metric",131.200000,-97.200000,90.000000,top
"C5","100nf","C_0603_1608Metric",145.750000,-104.275000,180.000000,top
"C6","100nf","C_0603_1608Metric",145.000000,-77.425000,90.000000,top
"C7","100nf","C_0603_1608Metric",154.775000,-109.225000,0.000000,top
"C8","100nf","C_0603_1608Metric",151.925000,-86.250000,0.000000,top
"C9","100nF","C_0603_1608Metric",137.800000,-108.575000,90.000000,top
"C10","100nf","C_0603_1608Metric",137.050000,-95.950000,0.000000,top
"C11","220uf","CP_Radial_D6.3mm_P2.50mm",132.540000,-103.200000,0.000000,top
"C12","1uf","C_0603_1608Metric",137.050000,-98.975000,0.000000,top
"C13","4.7uF","C_0805_2012Metric",134.925000,-118.200000,180.000000,top
"C14","2.2uF","C_0603_1608Metric",132.175000,-110.950000,180.000000,top
"C15","2.2uF","C_0603_1608Metric",137.475000,-118.675000,90.000000,top
"C16","2.2uF","C_0603_1608Metric",131.200000,-113.400000,-90.000000,top
"C17","104","C_Feed_0805_2012Metric",137.175000,-124.300000,-90.000000,top
"C18","104","C_Feed_0805_2012Metric",132.225000,-124.275000,90.000000,top
"C19","2.2uF","C_0603_1608Metric",134.700000,-127.225000,180.000000,top
"C20","100uf","C_1210_3225Metric",137.000000,-131.950000,-90.000000,top
"C21","100uf","C_1210_3225Metric",132.425000,-131.925000,90.000000,top
"D1","LED","LED_0805_2012Metric",132.162500,-108.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",133.415000,-71.600000,-90.000000,top
"J2","Conn_01x04","5V1W",131.600000,-79.000000,0.000000,top
"J3","BNC","SMA_Amphenol_901-143_Horizontal",155.200000,-54.350000,0.000000,top
"J4","BNC","SMA_Amphenol_901-143_Horizontal",134.800000,-54.290000,0.000000,top
"R1","0","R_0603_1608Metric",139.325000,-84.100000,0.000000,top
"R2","200k","R_0603_1608Metric",153.475000,-113.725000,0.000000,top
"R3","5.1k","R_0603_1608Metric",137.625000,-78.575000,90.000000,top
"R4","2.1k","R_0603_1608Metric",148.975000,-113.375000,0.000000,top
"R5","5.1k","R_0603_1608Metric",137.625000,-81.600000,90.000000,top
"R6","18.7k","R_0603_1608Metric",148.975000,-111.625000,180.000000,top
"R7","51k","R_0603_1608Metric",152.925000,-101.700000,0.000000,top
"R8","2.1k","R_0603_1608Metric",151.325000,-99.950000,180.000000,top
"R9","200","R_0603_1608Metric",135.490000,-107.990000,0.000000,top
"R10","18.7k","R_0603_1608Metric",149.775000,-101.700000,180.000000,top
"R11","51k","R_0603_1608Metric",150.350000,-88.450000,0.000000,top
"R12","2.1k","R_0603_1608Metric",153.350000,-84.450000,180.000000,top
"R13","18.7k","R_0603_1608Metric",151.000000,-83.700000,90.000000,top
"R14","51K","R_0603_1608Metric",137.500000,-111.700000,90.000000,top
"R15","51K","R_0603_1608Metric",131.950000,-120.125000,0.000000,top
"R16","78.7k","R_0603_1608Metric",137.500000,-114.875000,90.000000,top
"R17","75K","R_0603_1608Metric",131.175000,-116.575000,-90.000000,top
"TP1","TestPoint","P50 Tip",143.500000,-127.000000,90.000000,top
"TP2","TestPoint","P50 Tip",146.500000,-127.000000,90.000000,top
"U1","ADA4522-2","SOIC-8_3.9x4.9mm_P1.27mm",150.250000,-106.750000,90.000000,top
"U2","NCV8570BMN300R2G","NCV8570BMN300R2G",133.900000,-97.200000,0.000000,top
"U3","LME49710","SOIC-8_3.9x4.9mm_P1.27mm",147.275000,-83.800000,90.000000,top
"U4","LM27762","WSON-12-1EP_3x2mm_P0.5mm_EP1x2.65_ThermalVias",134.042500,-114.342500,-90.000000,top
